V,I,G,P,no_module_fault,fault,partial_shading
137.4055,10.5972,901.18359,1456.113565,0,0,0
135.50167,10.58743,901.2283,1434.614446,0,0,0
135.91852,10.60657,901.19254,1441.629297,0,0,0
136.19315,10.59002,901.34114,1442.288182,0,0,0
138.9017,10.55392,901.28089,1465.95743,0,0,0
136.21461,10.57156,901.41034,1440.000922,0,0,0
135.81416,10.6011,901.24385,1439.779492,0,0,0
138.89477,10.57031,901.42418,1468.160776,0,0,0
138.81814,10.54182,900.99858,1463.395845,0,0,0
137.68656,10.52122,901.28877,1448.630589,0,0,0
139.52972,10.64209,904.10166,1484.887838,0,0,0
137.13756,10.62503,904.08229,1457.090689,0,0,0
140.5095,10.59875,904.0825,1489.225063,0,0,0
138.48727,10.61684,903.73866,1470.297188,0,0,0
137.27391,10.63336,904.30605,1459.682904,0,0,0
136.97033,10.59308,904.1006,1450.937663,0,0,0
140.73969,10.57222,903.87982,1487.930965,0,0,0
137.463,10.62228,904.13168,1460.170476,0,0,0
134.80593,10.65629,903.99521,1436.531084,0,0,0
136.87477,10.64863,904.04226,1457.528782,0,0,0
136.30136,10.62139,904.46616,1447.709902,0,0,0
137.57025,10.6537,904.40271,1465.632172,0,0,0
137.26136,10.61187,904.43081,1456.599708,0,0,0
136.62777,10.57638,904.38674,1445.027214,0,0,0
138.26052,10.61795,904.3695,1468.043288,0,0,0
139.9573,10.62374,904.35757,1486.869966,0,0,0
136.8485,10.61572,904.61583,1452.745358,0,0,0
136.41185,10.60561,904.55196,1446.73088,0,0,0
138.65642,10.6214,904.13488,1472.725299,0,0,0
136.91141,10.62856,904.57985,1455.171136,0,0,0
137.54176,10.63448,903.88109,1462.685096,0,0,0
137.27715,10.61476,903.81744,1457.164001,0,0,0
137.51761,10.60496,903.82766,1458.368753,0,0,0
137.74204,10.62042,903.66372,1462.878316,0,0,0
138.15256,10.61203,903.75378,1466.079111,0,0,0
135.92242,10.60146,903.70758,1440.976099,0,0,0
137.54576,10.59481,903.49318,1457.271194,0,0,0
136.64913,10.62593,903.67692,1452.02409,0,0,0
140.74187,10.62062,903.77784,1494.765919,0,0,0
137.66247,10.57417,903.56152,1455.66636,0,0,0
135.85703,10.7134,903.74526,1455.490705,0,0,0
135.97622,10.6854,903.8102,1452.960301,0,0,0
138.00401,10.69838,903.74164,1476.419341,0,0,0
135.66485,10.69344,903.78763,1450.723934,0,0,0
133.99565,10.70736,903.85704,1434.739663,0,0,0
134.94299,10.68288,903.63136,1441.579769,0,0,0
137.51311,10.70259,903.88152,1471.746436,0,0,0
133.50171,10.70206,904.08548,1428.743311,0,0,0
135.83015,10.69548,903.71247,1452.768653,0,0,0
136.62717,10.6719,903.6782,1458.071496,0,0,0
133.14256,10.72621,903.58643,1428.115058,0,0,0
137.026,10.66305,903.75293,1461.115089,0,0,0
140.36327,10.71309,903.92069,1503.724344,0,0,0
138.06763,10.69096,903.77933,1476.07551,0,0,0
137.30139,10.67899,903.41441,1466.240171,0,0,0
134.21633,10.73007,903.78976,1440.150616,0,0,0
137.08988,10.7205,903.71631,1469.672059,0,0,0
139.7345,10.67965,903.66734,1492.315553,0,0,0
136.83519,10.69812,903.53896,1463.879283,0,0,0
137.07469,10.73944,903.57025,1472.105409,0,0,0
137.38364,10.62687,902.94389,1459.958082,0,0,0
138.14841,10.63793,902.88321,1469.613115,0,0,0
136.41059,10.6155,902.97817,1448.066618,0,0,0
138.14938,10.62481,902.85213,1467.810914,0,0,0
137.15643,10.62982,903.07632,1457.948163,0,0,0
138.64691,10.60369,903.0397,1470.168853,0,0,0
135.54013,10.62994,903.06759,1440.783449,0,0,0
138.70081,10.588,902.94857,1468.564176,0,0,0
137.1618,10.57315,902.92068,1450.232286,0,0,0
136.92002,10.61587,903.23535,1453.525133,0,0,0
136.44551,10.59644,902.5068,1445.83666,0,0,0
135.81193,10.58686,902.27047,1437.821889,0,0,0
140.33134,10.62754,902.36458,1491.376929,0,0,0
138.20961,10.6437,902.0729,1471.061626,0,0,0
137.34279,10.61026,902.3105,1457.242711,0,0,0
137.36451,10.58564,902.36607,1454.091252,0,0,0
137.57314,10.61439,902.37629,1460.254961,0,0,0
135.80656,10.62564,902.46336,1443.031616,0,0,0
137.35681,10.5708,902.30347,1451.971367,0,0,0
140.29317,10.59075,902.40865,1485.80989,0,0,0
135.5621,10.60816,902.62794,1438.064447,0,0,0
136.25728,10.59618,902.90301,1443.806665,0,0,0
135.6242,10.59514,902.7312,1436.957386,0,0,0
138.82497,10.60409,902.7857,1472.112476,0,0,0
135.57799,10.61442,902.76122,1439.081729,0,0,0
138.80857,10.60248,902.90003,1471.715087,0,0,0
137.17972,10.64044,903.05673,1459.65258,0,0,0
137.2235,10.64083,902.98242,1460.171936,0,0,0
137.14267,10.6193,902.8319,1456.359156,0,0,0
138.55525,10.61586,902.80976,1470.883136,0,0,0
139.21176,10.59775,902.69011,1475.33143,0,0,0
136.58217,10.60298,902.77016,1448.178017,0,0,0
139.69512,10.62334,902.89705,1484.028756,0,0,0
136.34899,10.60213,902.83211,1445.589717,0,0,0
140.13526,10.58278,902.94431,1483.020627,0,0,0
139.60179,10.5842,902.94176,1477.573266,0,0,0
135.45186,10.6378,902.9935,1440.909796,0,0,0
138.21052,10.65272,902.93495,1472.317971,0,0,0
137.40581,10.58671,903.00521,1454.675463,0,0,0
137.04574,10.61989,902.86511,1455.410684,0,0,0
137.63069,10.61707,902.30432,1461.23467,0,0,0
137.18959,10.60247,902.45506,1454.548512,0,0,0
135.92637,10.61282,902.4129,1442.562098,0,0,0
137.92571,10.63899,902.65519,1467.390249,0,0,0
136.80603,10.64178,902.39353,1455.859674,0,0,0
137.22081,10.61649,902.29921,1456.803357,0,0,0
135.99495,10.62328,902.38225,1444.712432,0,0,0
134.65971,10.61775,902.37948,1429.783136,0,0,0
139.71714,10.61493,902.40375,1483.087661,0,0,0
135.80439,10.56433,902.26068,1434.682391,0,0,0
137.88725,10.61566,902.4606,1463.764164,0,0,0
136.2552,10.63569,902.40503,1449.168068,0,0,0
137.85197,10.62962,902.4672,1465.314057,0,0,0
138.24721,10.59126,902.43632,1464.212145,0,0,0
137.54753,10.57717,902.40375,1454.863608,0,0,0
135.59485,10.62195,902.45059,1440.281717,0,0,0
136.35663,10.61927,902.49423,1448.00787,0,0,0
135.14469,10.57918,902.68798,1429.720002,0,0,0
140.48748,10.57898,902.39843,1486.214241,0,0,0
133.66793,10.63097,902.25621,1421.019754,0,0,0
