V,I,G,P,no_module_fault,fault,partial_shading
135.91478,10.54864,893.40683,1433.716085,0,0,0
135.63063,10.54657,893.54288,1430.437933,0,0,0
137.20148,10.55892,893.59781,1448.699451,0,0,0
138.06698,10.55964,893.53585,1457.937605,0,0,0
135.96772,10.54959,893.60419,1434.403699,0,0,0
136.87517,10.52237,893.50157,1440.251183,0,0,0
136.82178,10.50431,893.43919,1437.218392,0,0,0
133.50966,10.52708,893.71746,1405.466872,0,0,0
138.85853,10.5093,893.48561,1459.305949,0,0,0
137.86791,10.52327,893.84627,1450.821241,0,0,0
139.10011,10.51332,893.46453,1462.403968,0,0,0
135.13623,10.56965,893.21586,1428.342653,0,0,0
137.81188,10.56637,893.304,1456.171314,0,0,0
135.52485,10.53507,893.21671,1427.763781,0,0,0
137.75337,10.49498,893.10429,1445.718863,0,0,0
138.04415,10.54653,893.2463,1455.886769,0,0,0
133.92727,10.53512,893.08322,1410.939861,0,0,0
135.18462,10.4998,893.0681,1419.411473,0,0,0
138.59498,10.52894,893.02552,1459.258229,0,0,0
137.93862,10.53222,893.0004,1452.799892,0,0,0
136.82952,10.54624,893.09748,1443.036957,0,0,0
135.46963,10.5717,892.90118,1432.144287,0,0,0
141.55153,10.49213,893.1094,1485.177054,0,0,0
138.49107,10.47364,892.93078,1450.50561,0,0,0
139.56702,10.53954,893.05149,1470.97219,0,0,0
137.14333,10.58838,893.15198,1452.125693,0,0,0
140.35948,10.51334,892.98081,1475.646935,0,0,0
140.13916,10.48168,893.18392,1468.893831,0,0,0
139.03426,10.54207,893.01402,1465.708901,0,0,0
137.07161,10.60012,892.941,1452.975515,0,0,0
136.84212,10.54697,894.01148,1443.269734,0,0,0
138.65055,10.49425,894.03469,1455.033534,0,0,0
137.38516,10.51367,894.05576,1444.422235,0,0,0
134.56759,10.52258,893.94271,1415.998231,0,0,0
138.55246,10.51856,894.11474,1457.372364,0,0,0
135.79239,10.53976,894.37001,1431.2192,0,0,0
137.87277,10.54706,893.89502,1454.152378,0,0,0
