V,I,G,P,no_module_fault,fault,partial_shading
138.31336,9.64613,827.7409,1334.188651,0,0,0
139.3845,9.66188,827.79902,1346.716313,0,0,0
136.56152,9.70469,827.84884,1325.287218,0,0,0
139.96666,9.67685,827.71301,1354.436374,0,0,0
134.06975,9.65521,827.78987,1294.471591,0,0,0
141.74868,9.68589,827.70173,1372.962122,0,0,0
138.18172,9.68334,827.88333,1338.060577,0,0,0
139.36988,9.66978,828.12817,1347.676078,0,0,0
138.56699,9.6969,827.69193,1343.670245,0,0,0
138.12847,9.70378,827.86268,1340.368285,0,0,0
139.13351,9.70942,832.06414,1350.905685,0,0,0
139.45997,9.72442,832.03519,1356.167321,0,0,0
141.4829,9.7596,832.08586,1380.816511,0,0,0
139.77443,9.74721,832.38882,1362.410722,0,0,0
140.40215,9.70715,832.339,1362.90473,0,0,0
139.31866,9.72913,832.10395,1355.449355,0,0,0
138.13505,9.76903,832.08415,1349.445448,0,0,0
138.78539,9.70017,832.04477,1346.241877,0,0,0
139.80389,9.68698,832.15654,1354.277486,0,0,0
140.42224,9.75317,831.99048,1369.561979,0,0,0
136.30233,9.8247,832.03668,1339.129502,0,0,0
138.47892,9.83967,831.8474,1362.586875,0,0,0
137.60649,9.81695,831.80482,1350.876032,0,0,0
138.07366,9.81921,831.83676,1355.774263,0,0,0
137.0544,9.83085,831.77289,1347.361248,0,0,0
137.59429,9.82184,831.76671,1351.429101,0,0,0
140.33048,9.79027,831.77906,1373.873288,0,0,0
138.15342,9.79337,832.0469,1352.987559,0,0,0
137.74411,9.81871,831.66494,1352.46947,0,0,0
137.50683,9.81948,831.78651,1350.245567,0,0,0
136.16865,9.79581,831.63492,1333.882223,0,0,0
137.29567,9.83942,832.04647,1350.909761,0,0,0
140.98137,9.80284,831.96386,1382.017813,0,0,0
137.64157,9.78609,831.86252,1346.972792,0,0,0
138.27004,9.81314,832.00219,1356.86326,0,0,0
136.01281,9.84653,831.88658,1339.254214,0,0,0
137.07682,9.82335,831.99026,1346.55358,0,0,0
138.65369,9.78429,832.13482,1356.627913,0,0,0
137.77989,9.85513,832.33687,1357.838727,0,0,0
136.51708,9.85517,832.11971,1345.399031,0,0,0
138.49249,9.85469,831.84038,1364.800556,0,0,0
137.47935,9.82852,831.77608,1351.218541,0,0,0
137.43775,9.83046,831.557,1351.076304,0,0,0
138.28598,9.84028,831.65515,1360.772763,0,0,0
136.76089,9.82241,831.42096,1343.321534,0,0,0
138.85999,9.82356,831.62045,1364.099443,0,0,0
138.77405,9.8215,831.59341,1362.969332,0,0,0
137.08051,9.81574,831.60001,1345.546645,0,0,0
139.57071,9.78028,831.16398,1365.040624,0,0,0
138.46738,9.79789,831.81568,1356.688158,0,0,0
137.96059,9.83532,831.30258,1356.88655,0,0,0
137.58609,9.81764,831.44331,1350.770701,0,0,0
137.72316,9.82112,831.34495,1352.595681,0,0,0
135.24318,9.81534,831.26213,1327.457794,0,0,0
139.1199,9.81831,831.3343,1365.922305,0,0,0
135.33449,9.81214,831.5108,1327.920963,0,0,0
136.42157,9.80351,831.47993,1337.410226,0,0,0
137.35196,9.80899,830.95129,1347.284002,0,0,0
136.27545,9.83505,831.43607,1340.275865,0,0,0
136.52887,9.77568,831.2996,1334.662544,0,0,0
139.88163,9.69955,831.128,1356.788864,0,0,0
137.84028,9.73262,831.59532,1341.547066,0,0,0
138.25288,9.7195,831.51293,1343.748867,0,0,0
137.09317,9.71268,831.23764,1331.54209,0,0,0
138.03797,9.7312,831.47993,1343.275094,0,0,0
139.55092,9.73424,831.36326,1358.422148,0,0,0
137.25275,9.72007,831.47269,1334.106338,0,0,0
138.46303,9.75799,831.47397,1351.120862,0,0,0
138.31478,9.77696,831.2517,1352.298071,0,0,0
139.08852,9.74114,831.28235,1354.880746,0,0,0
138.20864,9.73594,832.26257,1345.591027,0,0,0
136.17205,9.74402,831.95194,1326.863179,0,0,0
139.29122,9.72509,831.78885,1354.619651,0,0,0
138.56572,9.72452,831.89616,1347.485115,0,0,0
138.03094,9.74979,831.86209,1345.772679,0,0,0
138.6792,9.76483,831.83974,1354.178813,0,0,0
137.37863,9.72413,831.84975,1335.887657,0,0,0
137.372,9.67545,831.84911,1329.135917,0,0,0
135.02453,9.72065,832.10246,1312.526198,0,0,0
138.82593,9.73711,832.02709,1351.763351,0,0,0
138.61153,9.73217,831.44288,1348.990974,0,0,0
140.35882,9.73637,831.74138,1366.585404,0,0,0
138.79921,9.74844,831.63322,1353.075771,0,0,0
139.54875,9.73934,831.76799,1359.112723,0,0,0
139.51453,9.68817,831.69773,1351.640484,0,0,0
138.08778,9.72383,831.70433,1342.742098,0,0,0
138.61487,9.77486,831.55061,1354.940948,0,0,0
139.38354,9.72209,831.78885,1355.09932,0,0,0
139.26607,9.66404,832.01837,1345.872871,0,0,0
139.69006,9.69896,831.7005,1354.848304,0,0,0
137.34391,9.82192,831.45545,1348.980897,0,0,0
139.58645,9.80707,831.3739,1368.934086,0,0,0
136.473,9.7995,831.46865,1337.367164,0,0,0
137.25128,9.80595,831.69837,1345.879189,0,0,0
140.97008,9.82953,831.48972,1385.66963,0,0,0
139.51858,9.81471,831.42436,1369.334402,0,0,0
136.74403,9.80288,831.43479,1340.485317,0,0,0
136.57286,9.78524,831.51825,1336.398213,0,0,0
137.16625,9.80601,831.73478,1345.053619,0,0,0
135.23017,9.82376,831.45034,1328.468735,0,0,0
139.86721,9.80125,831.29492,1370.873492,0,0,0
137.58918,9.80549,831.27405,1349.129329,0,0,0
134.31811,9.80815,831.30045,1317.412171,0,0,0
137.01684,9.81978,831.24063,1345.475225,0,0,0
138.78038,9.81072,831.24659,1361.53545,0,0,0
134.49278,9.83668,831.15206,1322.962439,0,0,0
137.58852,9.8202,831.28959,1351.146784,0,0,0
137.85577,9.78677,831.34921,1349.162714,0,0,0
138.13657,9.82284,831.26,1356.893425,0,0,0
138.71296,9.82567,831.29555,1362.94777,0,0,0
138.22813,9.80277,831.27022,1355.018566,0,0,0
139.19987,9.81263,831.11608,1365.91682,0,0,0
140.52392,9.80678,831.13013,1378.087168,0,0,0
137.87621,9.81705,831.14737,1353.537647,0,0,0
138.45574,9.79879,831.14716,1356.698721,0,0,0
137.9573,9.80214,830.86868,1352.276769,0,0,0
140.09684,9.8267,830.98365,1376.689618,0,0,0
138.75907,9.82198,831.15908,1362.88881,0,0,0
137.85804,9.8313,831.18868,1355.323749,0,0,0
135.95132,9.85287,830.91297,1339.510682,0,0,0
137.92025,9.81082,831.24616,1353.110747,0,0,0
